Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q71,115.77,94.06,5.117,-0.31568,1.670e-2,0.0182,0.0152,864,3.783e-4,3.783e-4,3.783e-4,71_77:8.846e-3; 71_58:3.416e-2,71_77:462.222; 71_58:455.111
Q72,98.18,46.78,5.145,-0.3059,5.200e-3,0.0074,0.003,864,2.121e-4,2.121e-4,2.121e-4,72_62:2.163e-2; 72_81:1.884e-2,72_62:270.222; 72_81:369.778
Q73,123.15,103.72,5.019,-0.30805,4.900e-3,0.005,0.0048,864,1.876e-4,1.876e-4,1.876e-4,73_85:6.599e-3; 73_66:4.567e-2,73_85:462.222; 73_66:440.889
Q74,119.88,48.35,4.874,-0.32062,2.040e-2,0.0242,0.0166,864,2.627e-4,2.627e-4,2.627e-4,74_89:9.442e-3; 74_70:2.148e-2,74_89:419.556; 74_70:853.333
Q75,129.48,145.81,5.008,-0.30781,1.160e-2,0.0138,0.0094,864,3.088e-4,3.088e-4,3.088e-4,75_90:1.181e-2; 75_76:1.305e-2,75_90:448; 75_76:867.556
Q76,89.79,172.58,4.904,-0.31017,6.000e-3,0.008,0.004,864,1.771e-4,1.771e-4,1.771e-4,76_77:8.757e-3; 76_75:1.305e-2,76_77:405.333; 76_75:832
Q77,74.49,97.02,5.071,-0.30801,1.210e-2,0.0154,0.0088,864,3.401e-4,3.401e-4,3.401e-4,77_71:8.846e-3; 77_76:8.757e-3; 77_78:2.051e-2,77_71:426.667; 77_76:369.778; 77_78:917.333
Q78,69.52,17.53,5.277,-0.3036,2.420e-2,0.028,0.0204,864,3.482e-4,3.482e-4,3.482e-4,78_79:1.470e-2; 78_77:2.051e-2,78_79:640; 78_77:881.778
Q79,67.08,28.16,5.017,-0.30802,2.620e-2,0.0206,0.0318,864,5.377e-4,5.377e-4,5.377e-4,79_78:1.470e-2; 79_91:1.083e-2; 79_80:9.888e-3,79_78:675.556; 79_91:440.889; 79_80:348.444
Q80,62.04,100.06,5.081,-0.30759,7.730e-2,0.0786,0.076,864,6.620e-4,6.620e-4,6.620e-4,80_81:1.182e-2; 80_79:9.888e-3,80_81:540.444; 80_79:312.889
Q81,87.61,82.31,4.945,-0.3096,5.030e-2,0.0546,0.046,864,2.924e-4,2.924e-4,2.924e-4,81_82:1.275e-2; 81_72:1.884e-2; 81_80:1.182e-2,81_82:533.333; 81_72:405.333; 81_80:576
Q82,105.22,34.21,5.08,-0.30778,3.860e-2,0.0362,0.041,864,7.362e-4,7.362e-4,7.362e-4,82_81:1.275e-2; 82_83:3.701e-2,82_81:497.778; 82_83:433.778
Q83,108.8,166.09,5.052,-0.30815,3.550e-2,0.0394,0.0316,864,4.855e-4,4.855e-4,4.855e-4,83_84:3.362e-2; 83_82:3.701e-2; 83_92:1.043e-2,83_84:490.667; 83_82:469.333; 83_92:440.889
Q84,102.22,14.14,4.909,-0.30897,5.500e-3,0.0062,0.0048,864,1.987e-4,1.987e-4,1.987e-4,84_83:3.362e-2; 84_85:5.245e-3,84_83:526.222; 84_85:433.778
Q85,103.68,73.65,5.092,-0.30693,8.000e-3,0.0096,0.0064,864,1.803e-4,1.803e-4,1.803e-4,85_73:6.599e-3; 85_86:4.062e-2; 85_84:5.245e-3,85_73:426.667; 85_86:433.778; 85_84:398.222
Q86,129.52,150.74,4.931,-0.30902,1.080e-2,0.0132,0.0084,864,2.525e-4,2.525e-4,2.525e-4,86_85:4.062e-2; 86_87:9.925e-3,86_85:469.333; 86_87:661.333
Q87,81.22,138.04,5.195,-0.30516,5.440e-2,0.0544,0.0544,864,2.040e-4,2.040e-4,2.040e-4,87_93:1.228e-2; 87_88:5.861e-3; 87_86:9.925e-3,87_93:476.444; 87_88:426.667; 87_86:625.778
Q88,125.14,140.46,5.097,-0.30661,1.600e-2,0.0174,0.0146,864,2.720e-4,2.720e-4,2.720e-4,88_87:5.861e-3; 88_89:1.249e-2,88_87:462.222; 88_89:533.333
Q89,111.62,43.25,4.958,-0.30863,1.310e-2,0.0188,0.0074,864,3.514e-4,3.514e-4,3.514e-4,89_74:9.442e-3; 89_88:1.249e-2,89_74:384; 89_88:568.889
Q90,84.97,114.27,5.256,-0.3033,2.850e-2,0.0202,0.0368,864,3.158e-4,3.158e-4,3.158e-4,90_94:9.822e-3; 90_75:1.181e-2,90_94:369.778; 90_75:412.444
Q91,77.62,65,5.057,-0.30788,3.590e-2,0.0288,0.043,864,5.502e-4,5.502e-4,5.502e-4,91_98:1.585e-2; 91_79:1.083e-2,91_98:419.556; 91_79:405.333
Q92,107.64,179.04,5.124,-0.30626,6.700e-3,0.0072,0.0062,864,2.165e-4,2.165e-4,2.165e-4,92_83:1.043e-2; 92_102:8.855e-3,92_83:405.333; 92_102:540.444
Q93,101.84,127.44,5.14,-0.30575,7.750e-2,0.0814,0.0736,864,2.939e-4,2.939e-4,2.939e-4,93_106:7.857e-3; 93_87:1.228e-2,93_106:440.889; 93_87:440.889
Q94,119.58,86.22,5.176,-0.30523,5.200e-3,0.008,0.0024,864,3.058e-4,3.058e-4,3.058e-4,94_95:7.746e-3; 94_90:9.822e-3,94_95:398.222; 94_90:405.333
Q95,96.61,129.83,5.221,-0.30548,6.500e-3,0.0086,0.0044,864,3.523e-4,3.523e-4,3.523e-4,95_94:7.746e-3; 95_96:7.384e-3,95_94:362.667; 95_96:348.444
Q96,109.79,57.1,5.142,-0.30586,1.150e-2,0.013,0.01,864,2.211e-4,2.211e-4,2.211e-4,96_97:6.754e-3; 96_95:7.384e-3; 96_109:1.000e+0,96_97:362.667; 96_95:384; 96_109:355.556
Q97,57.87,111.51,5.052,-0.30754,4.500e-3,0.0062,0.0028,864,2.779e-4,2.779e-4,2.779e-4,97_96:6.754e-3; 97_98:1.829e-2,97_96:398.222; 97_98:917.333
Q98,92,67.17,5.124,-0.29461,2.220e-2,0.0276,0.0168,864,8.555e-3,8.555e-3,8.555e-3,98_91:1.585e-2; 98_99:7.590e-2; 98_97:1.829e-2,98_91:455.111; 98_99:405.333; 98_97:952.889
Q99,114.27,32.35,5.175,-0.30474,7.100e-2,0.0836,0.0584,864,1.102e-3,1.102e-3,1.102e-3,99_100:3.486e-2; 99_98:7.590e-2,99_100:732.444; 99_98:369.778
Q100,119.97,68.76,5.028,-0.30765,3.490e-2,0.0416,0.0282,864,2.081e-4,2.081e-4,2.081e-4,100_110:2.337e-2; 100_101:5.924e-3; 100_99:3.486e-2,100_110:832; 100_101:419.556; 100_99:768
Q101,81.26,105.64,5.095,-0.30715,2.850e-2,0.0256,0.0314,864,2.196e-4,2.196e-4,2.196e-4,101_100:5.924e-3; 101_102:6.521e-3,101_100:384; 101_102:362.667
Q102,129.95,133.85,4.985,-0.30865,8.300e-3,0.008,0.0086,864,2.135e-4,2.135e-4,2.135e-4,102_103:1.091e-2; 102_101:6.521e-3; 102_92:8.855e-3,102_103:391.111; 102_101:398.222; 102_92:576
Q103,83.07,120.22,5.227,-0.30411,1.190e-2,0.0122,0.0116,864,2.788e-4,2.788e-4,2.788e-4,103_102:1.091e-2; 103_104:7.404e-3,103_102:355.556; 103_104:476.444
Q104,94.82,105.85,5.135,-0.30632,5.800e-3,0.005,0.0066,864,2.008e-4,2.008e-4,2.008e-4,104_111:1.150e-2; 104_103:7.404e-3; 104_105:2.546e-2,104_111:483.556; 104_103:512; 104_105:654.222
Q105,118.43,97.23,4.985,-0.30863,7.000e-3,0.0094,0.0046,864,2.013e-4,2.013e-4,2.013e-4,105_104:2.546e-2; 105_106:9.489e-3,105_104:689.778; 105_106:405.333
Q106,102.58,76.81,5.04,-0.30814,1.400e-2,0.0158,0.0122,864,6.057e-4,6.057e-4,6.057e-4,106_93:7.857e-3; 106_107:7.827e-3; 106_105:9.489e-3,106_93:476.444; 106_107:455.111; 106_105:369.778
Q107,103.7,139.93,5.122,-0.30525,7.700e-3,0.011,0.0044,864,2.577e-4,2.577e-4,2.577e-4,107_106:7.827e-3; 107_108:1.030e-2,107_106:419.556; 107_108:554.667
Q108,83.75,67.24,5.254,-0.30352,3.840e-2,0.0358,0.041,864,7.828e-4,7.828e-4,7.828e-4,108_107:1.030e-2; 108_112:2.021e-2,108_107:519.111; 108_112:540.444
Q109,103.78,78.93,4.997,-0.3249,3.345e-1,0.3506,0.3184,864,2.843e-4,2.843e-4,2.843e-4,109_96:1.000e+0,109_96:391.111
Q110,80.75,47.66,5.292,-0.30295,1.580e-2,0.02,0.0116,864,2.922e-4,2.922e-4,2.922e-4,110_100:2.337e-2; 110_118:9.762e-3,110_100:796.444; 110_118:405.333
Q111,88.26,129.01,5.191,-0.3056,1.220e-2,0.016,0.0084,864,4.146e-4,4.146e-4,4.146e-4,111_104:1.150e-2; 111_122:1.320e-2,111_104:448; 111_122:426.667
Q112,102.64,90.92,5.216,-0.27862,3.830e-2,0.0356,0.041,864,1.252e-3,1.252e-3,1.252e-3,112_126:1.882e-2; 112_108:2.021e-2,112_126:376.889; 112_108:576
Q113,91.25,84.8,5.17,-0.30616,1.340e-2,0.018,0.0088,864,2.753e-4,2.753e-4,2.753e-4,113_114:1.455e-2,113_114:1052.444
Q114,87.11,62.81,5.274,-0.30316,1.700e-2,0.0192,0.0148,864,3.921e-4,3.921e-4,3.921e-4,114_113:1.455e-2; 114_115:5.258e-2,114_113:1088; 114_115:611.556
Q115,85.46,45.91,5.122,-0.30653,7.200e-3,0.0078,0.0066,864,1.983e-3,1.983e-3,1.983e-3,115_116:7.010e-2; 115_114:5.258e-2,115_116:426.667; 115_114:576
Q116,123.55,110.56,5.017,-0.30771,8.700e-3,0.01,0.0074,864,1.691e-4,1.691e-4,1.691e-4,116_115:7.010e-2; 116_117:8.518e-3,116_115:462.222; 116_117:348.444
Q117,81.23,119.25,5.234,-0.30379,6.500e-3,0.0076,0.0054,864,3.719e-4,3.719e-4,3.719e-4,117_118:8.493e-3; 117_116:8.518e-3,117_118:433.778; 117_116:312.889
Q118,61.03,81.47,5.114,-0.30676,1.170e-2,0.0108,0.0126,864,3.232e-4,3.232e-4,3.232e-4,118_117:8.493e-3; 118_110:9.762e-3; 118_119:2.652e-2,118_117:469.333; 118_110:440.889; 118_119:881.778
Q119,70.81,60.98,5.275,-0.30461,1.410e-2,0.0176,0.0106,864,2.170e-4,2.170e-4,2.170e-4,119_120:2.828e-2; 119_118:2.652e-2,119_120:1130.667; 119_118:846.222
Q120,43.25,60.6,5.084,-0.30669,5.200e-3,0.0078,0.0026,864,2.547e-4,2.547e-4,2.547e-4,120_121:7.728e-3; 120_119:2.828e-2,120_121:476.444; 120_119:1166.222
Q121,98.84,59.53,4.996,-0.30827,1.940e-2,0.0212,0.0176,864,1.946e-4,1.946e-4,1.946e-4,121_120:7.728e-3; 121_122:1.789e-2,121_120:440.889; 121_122:846.222
Q122,67.41,94.77,5.269,-0.30324,5.330e-2,0.0438,0.0628,864,2.632e-4,2.632e-4,2.632e-4,122_121:1.789e-2; 122_111:1.320e-2; 122_123:7.606e-2,122_121:810.667; 122_111:462.222; 122_123:561.778
Q123,75.27,4.11,5.108,-0.30626,7.000e-3,0.0086,0.0054,864,1.930e-3,1.930e-3,1.930e-3,123_124:1.233e-1; 123_122:7.606e-2,123_124:533.333; 123_122:597.333
Q124,77.47,127.19,5.244,-0.29286,1.720e-2,0.0202,0.0142,864,1.416e-3,1.416e-3,1.416e-3,124_123:1.233e-1; 124_125:1.109e-2,124_123:497.778; 124_125:789.333
Q125,120.29,106.8,5.037,-0.30725,5.800e-3,0.0084,0.0032,864,2.564e-4,2.564e-4,2.564e-4,125_124:1.109e-2; 125_126:8.155e-3,125_124:753.778; 125_126:504.889
Q126,85,130.41,5.165,-0.30495,4.400e-3,0.0066,0.0022,864,2.427e-4,2.427e-4,2.427e-4,126_125:8.155e-3; 126_112:1.882e-2,126_125:469.333; 126_112:412.444
